"messier_id","ngc_ic_num","common_name","img-src","object_type","distance_from_earth","constellation","apparent_mag","right_asc","declination"
"M34[50]","NGC 1039","–","//upload.wikimedia.org/wikipedia/commons/thumb/7/7e/M34_2mass_atlas.jpg/75px-M34_2mass_atlas.jpg","Open cluster",1.5,"Perseus",5.5,"02h 42.1m","+42° 46′"
"M35[51]","NGC 2168","–","//upload.wikimedia.org/wikipedia/commons/thumb/1/12/M35atlas.jpg/75px-M35atlas.jpg","Open cluster",2.8,"Gemini",5.3,"06h 09.1m","+24° 21′"
"M36[52]","NGC 1960","–","//upload.wikimedia.org/wikipedia/commons/thumb/3/3d/M36a.jpg/75px-M36a.jpg","Open cluster",4.1,"Auriga",6.3,"05h 36m 12s","+34° 08′ 4″"
"M37[53]","NGC 2099","–","//upload.wikimedia.org/wikipedia/commons/thumb/4/46/M37a.jpg/75px-M37a.jpg","Open cluster",4.511,"Auriga",6.2,"05h 52m 18s","+32° 33′ 02″"
"M38[54]","NGC 1912","Starfish Cluster","//upload.wikimedia.org/wikipedia/commons/thumb/0/09/M38_Open_Cluster.jpg/75px-M38_Open_Cluster.jpg","Open cluster",4.2,"Auriga",7.4,"05h 28m 42s","+35° 51′ 18″"
"M39[55]","NGC 7092","–","//upload.wikimedia.org/wikipedia/commons/thumb/6/67/M39atlas.jpg/75px-M39atlas.jpg","Open cluster",0.8244,"Cygnus",5.5,"21h 31m 42s","+48° 26′ 00″"
"M40[56]","–","Winnecke 4","//upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Messier_object_40.jpg/75px-Messier_object_40.jpg","Double star",0.51,"Ursa Major",9.7,"12h 22m 12.5s","+58° 4′ 59″"
"M41[57]","NGC 2287","–","//upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Messier_041_2MASS.jpg/75px-Messier_041_2MASS.jpg","Open cluster",2.3,"Canis Major",4.5,"06h 46.0m","−20° 46′"
"M42[58]","NGC 1976","Orion Nebula","//upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Orion_Nebula_-_Hubble_2006_mosaic_18000.jpg/75px-Orion_Nebula_-_Hubble_2006_mosaic_18000.jpg","H II region nebula","1.324–1.364","Orion",4,"05h 35m 17.3","−05° 23′ 28″"
"M43[59]","NGC 1982","De Mairan's Nebula","//upload.wikimedia.org/wikipedia/commons/thumb/9/93/M43_HST.jpg/75px-M43_HST.jpg","H II region nebula (part of the Orion Nebula)",1.6,"Orion",9,"05h 35.6m","−05° 16′"
"M44[60]","NGC 2632","Beehive Cluster or Praesepe","//upload.wikimedia.org/wikipedia/commons/thumb/9/94/Messier_44_2018.jpg/75px-Messier_44_2018.jpg","Open cluster",0.577,"Cancer",3.7,"08h 40.4m","+19° 59′"
"M45[61]","–","Pleiades","//upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Bob_Star_-_M45_Carranza_Field_%28by%29.jpg/75px-Bob_Star_-_M45_Carranza_Field_%28by%29.jpg","Open cluster","0.39–0.46","Taurus",1.6,"03h 47m 24s","+24° 07′ 00″"
"M46[62]","NGC 2437","–","//upload.wikimedia.org/wikipedia/commons/thumb/0/0b/M46a.jpg/75px-M46a.jpg","Open cluster",5.4,"Puppis",6.1,"07h 41.8m","−14° 49′"
"M47[63]","NGC 2422","–","//upload.wikimedia.org/wikipedia/commons/thumb/5/55/M47a.jpg/75px-M47a.jpg","Open cluster",1.6,"Puppis",4.2,"07h 36.6m","−14° 30′"
"M48[64]","NGC 2548","–","//upload.wikimedia.org/wikipedia/commons/thumb/6/66/M48a.jpg/75px-M48a.jpg","Open cluster",1.5,"Hydra",5.5,"08h 13.7m","−05° 45′"
"M49[65]","NGC 4472","–","//upload.wikimedia.org/wikipedia/commons/thumb/2/29/Messier_49_Hubble_WikiSky.jpg/75px-Messier_49_Hubble_WikiSky.jpg","Elliptical galaxy","53,600–58,200","Virgo",9.4,"12h 29m 46.7s","+08° 00′ 02″"
"M50[66]","NGC 2323","–","//upload.wikimedia.org/wikipedia/commons/thumb/3/3b/M50a.jpg/75px-M50a.jpg","Open cluster",3.2,"Monoceros",5.9,"07h 03.2m","−08° 20′"
"M51[67]","NGC 5194, NGC 5195","Whirlpool Galaxy","//upload.wikimedia.org/wikipedia/commons/thumb/d/db/Messier51_sRGB.jpg/75px-Messier51_sRGB.jpg","Spiral galaxy","19,000–27,000","Canes Venatici",8.4,"13h 29m 52.7s","+47° 11′ 43″"
"M52[68]","NGC 7654","–","//upload.wikimedia.org/wikipedia/commons/thumb/b/bc/M52atlas.jpg/75px-M52atlas.jpg","Open cluster",5,"Cassiopeia",5,"23h 24.2m","+61° 35′"
"M53[69]","NGC 5024","–","//upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Globular_Cluster_M53.jpg/75px-Globular_Cluster_M53.jpg","Globular cluster",58,"Coma Berenices",8.3,"13h 12m 55.25s","+18° 10′ 05.4″"
"M54[70]","NGC 6715","–","//upload.wikimedia.org/wikipedia/commons/thumb/7/75/Messier54.jpg/75px-Messier54.jpg","Globular cluster",87.4,"Sagittarius",8.4,"18h 55m 03.33s","−30° 28′ 47.5″"
"M55[71]","NGC 6809","–","//upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Messier55.jpg/75px-Messier55.jpg","Globular cluster",17.6,"Sagittarius",7.4,"19h 39m 59.71s","−30° 57′ 53.1″"
"M56[72]","NGC 6779","–","//upload.wikimedia.org/wikipedia/commons/thumb/9/97/M56-LRGB.jpg/75px-M56-LRGB.jpg","Globular cluster",32.9,"Lyra",8.3,"19h 16m 35.57s","+30° 11′ 00.5″"
"M57[73]","NGC 6720","Ring Nebula","//upload.wikimedia.org/wikipedia/commons/thumb/1/13/M57_The_Ring_Nebula.JPG/75px-M57_The_Ring_Nebula.JPG","Planetary nebula","1.6–3.8","Lyra",8.8,"18h 53m 35.079s","+33° 01′ 45.03″"
"M58[74]","NGC 4579","–","//upload.wikimedia.org/wikipedia/commons/thumb/b/b0/M58s_%28visible%29.jpg/75px-M58s_%28visible%29.jpg","Barred Spiral galaxy","~63,000","Virgo",10.5,"12h 37m 43.5s","+11° 49′ 05″"
"M59[75]","NGC 4621","–","//upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Messier59_-_HST_-_Potw1921a.jpg/75px-Messier59_-_HST_-_Potw1921a.jpg","Elliptical galaxy","55,000–65,000","Virgo",10.6,"12h 42m 02.3s","+11° 38′ 49″"
"M60[76]","NGC 4649","–","//upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Messier_60_Hubble_WikiSky.jpg/75px-Messier_60_Hubble_WikiSky.jpg","Elliptical galaxy","51,000–59,000","Virgo",9.8,"12h 43m 39.6s","+11° 33′ 09″"
"M61[77]","NGC 4303","–","//upload.wikimedia.org/wikipedia/commons/thumb/2/23/Messier61_-_ESO_-_Potw1901a.tif/lossy-page1-75px-Messier61_-_ESO_-_Potw1901a.tif.jpg","Spiral galaxy","50,200–54,800","Virgo",10.2,"12h 21m 54.9s","+04° 28′ 25″"
"M62[78]","NGC 6266","–","//upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Messier_object_062.jpg/75px-Messier_object_062.jpg","Globular cluster",22.2,"Ophiuchus",7.4,"17h 01m 12.60s","−30° 06′ 44.5″"
"M63[79]","NGC 5055","Sunflower Galaxy","//upload.wikimedia.org/wikipedia/commons/thumb/0/0f/M63s.jpg/75px-M63s.jpg","Spiral galaxy",37000,"Canes Venatici",9.3,"13h 15m 49.3s","+42° 01′ 45″"
"M64[80]","NGC 4826","Black Eye Galaxy","//upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Blackeyegalaxy.jpg/75px-Blackeyegalaxy.jpg","Spiral galaxy","22,000–26,000","Coma Berenices",9.4,"12h 56m 43.7s","+21° 40′ 58″"
